epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.31,3.28829,3.59618,3.57642,0.51825,0.11254,0.12249,0.05807,2.00646,2.33545,2.5139,0.00333169,0.00333169,0.00333169
2,1018.98,1.79452,1.79352,2.1214,0.42912,0.26042,0.2513,0.13783,1.48948,1.48751,1.95822,0.00663203,0.00663203,0.00663203
3,1516.22,1.51723,1.42109,1.82124,0.29131,0.33708,0.25914,0.1544,1.33932,1.28758,1.78476,0.00989937,0.00989937,0.00989937
4,2012.39,1.40638,1.22711,1.71231,0.29955,0.43597,0.31249,0.19247,1.25596,1.01277,1.69901,0.0098515,0.0098515,0.0098515
5,2509.67,1.33549,1.10029,1.65281,0.26321,0.47814,0.35851,0.2331,1.20125,0.92807,1.6471,0.009802,0.009802,0.009802
6,3006.43,1.29137,1.01342,1.60722,0.31934,0.52358,0.38812,0.25624,1.2039,0.88818,1.64533,0.0097525,0.0097525,0.0097525
7,3503.94,1.26832,0.96559,1.5787,0.41813,0.52876,0.42433,0.28528,1.16458,0.84633,1.6092,0.009703,0.009703,0.009703
8,4001.13,1.25106,0.92866,1.56462,0.37573,0.58787,0.45587,0.30655,1.14976,0.79963,1.58939,0.0096535,0.0096535,0.0096535
9,4497.32,1.23216,0.89741,1.54881,0.37581,0.59823,0.45893,0.3108,1.16055,0.78599,1.5925,0.009604,0.009604,0.009604
10,4993.61,1.22055,0.87733,1.53416,0.40689,0.58697,0.48269,0.32915,1.13296,0.75709,1.5682,0.0095545,0.0095545,0.0095545
11,5491.71,1.20672,0.85189,1.52258,0.50293,0.60239,0.52612,0.36292,1.11419,0.74055,1.55218,0.009505,0.009505,0.009505
12,5994.84,1.20061,0.83522,1.51907,0.50046,0.61898,0.53602,0.37113,1.11037,0.72505,1.54421,0.0094555,0.0094555,0.0094555
13,6495.62,1.19192,0.8175,1.50341,0.52345,0.63242,0.57335,0.40133,1.1026,0.70207,1.53825,0.009406,0.009406,0.009406
14,6995.32,1.18267,0.80054,1.4983,0.53228,0.65224,0.58893,0.41266,1.1021,0.68568,1.53535,0.0093565,0.0093565,0.0093565
15,7494.48,1.17196,0.78534,1.49229,0.56086,0.63894,0.59505,0.41785,1.09374,0.67753,1.52794,0.009307,0.009307,0.009307
16,7994.88,1.17103,0.77776,1.48902,0.58781,0.67603,0.62343,0.43861,1.08225,0.6561,1.51636,0.0092575,0.0092575,0.0092575
17,8492.03,1.15876,0.76095,1.47947,0.59022,0.6681,0.63248,0.44639,1.08351,0.65813,1.51749,0.009208,0.009208,0.009208
18,8988.72,1.1629,0.76152,1.48306,0.59302,0.69292,0.64441,0.4561,1.0758,0.6434,1.50929,0.0091585,0.0091585,0.0091585
19,9484.6,1.15643,0.74954,1.47344,0.59303,0.69321,0.64912,0.45923,1.07633,0.63749,1.50764,0.009109,0.009109,0.009109
20,9982.51,1.14586,0.73695,1.47018,0.61408,0.67027,0.64971,0.46694,1.07127,0.63191,1.50432,0.0090595,0.0090595,0.0090595
21,10479.7,1.1443,0.73022,1.46217,0.63014,0.66255,0.66253,0.47466,1.06696,0.62611,1.49854,0.00901,0.00901,0.00901
22,10976.1,1.13916,0.72423,1.45946,0.61945,0.69232,0.67815,0.48703,1.06266,0.61798,1.49536,0.0089605,0.0089605,0.0089605
23,11472.2,1.13587,0.71746,1.45463,0.62716,0.69731,0.67909,0.48815,1.06177,0.60551,1.49118,0.008911,0.008911,0.008911
24,11966.3,1.13364,0.71244,1.45018,0.66726,0.67771,0.69075,0.49857,1.05991,0.6039,1.49116,0.0088615,0.0088615,0.0088615
25,12461,1.12862,0.70744,1.44948,0.64564,0.71375,0.70267,0.50772,1.05174,0.59502,1.48511,0.008812,0.008812,0.008812
26,12956.5,1.13016,0.70802,1.45069,0.6421,0.71619,0.70129,0.50583,1.0503,0.59476,1.48165,0.0087625,0.0087625,0.0087625
27,13451.8,1.11739,0.69275,1.44037,0.66915,0.7118,0.71214,0.5168,1.0485,0.58881,1.48036,0.008713,0.008713,0.008713
28,13946,1.11804,0.68936,1.44117,0.68043,0.69839,0.7151,0.51781,1.05061,0.58212,1.4816,0.0086635,0.0086635,0.0086635
29,14441,1.11761,0.69121,1.43874,0.67168,0.71661,0.71982,0.52442,1.04419,0.57792,1.47565,0.008614,0.008614,0.008614
30,14935.7,1.11629,0.68651,1.4415,0.69728,0.70232,0.72342,0.52862,1.04314,0.5762,1.47356,0.0085645,0.0085645,0.0085645
31,15430.8,1.1137,0.68536,1.43824,0.6825,0.71481,0.72819,0.53171,1.04076,0.56986,1.47134,0.008515,0.008515,0.008515
32,15925.9,1.1123,0.67892,1.43364,0.70889,0.71353,0.73633,0.53858,1.04025,0.56785,1.472,0.0084655,0.0084655,0.0084655
33,16420.2,1.10836,0.67462,1.43277,0.70989,0.72253,0.74194,0.54353,1.03727,0.56777,1.4692,0.008416,0.008416,0.008416
34,16915,1.10473,0.66813,1.42751,0.71577,0.71911,0.74679,0.54654,1.03701,0.5635,1.46887,0.0083665,0.0083665,0.0083665
35,17409.5,1.10421,0.66875,1.43017,0.70821,0.72131,0.7437,0.54534,1.03518,0.5615,1.46711,0.008317,0.008317,0.008317
36,17903.7,1.09876,0.66295,1.42627,0.71189,0.72444,0.74542,0.54778,1.03519,0.55905,1.46726,0.0082675,0.0082675,0.0082675
37,18398.1,1.10125,0.66204,1.42852,0.71096,0.72799,0.74811,0.54864,1.03484,0.56103,1.46601,0.008218,0.008218,0.008218
38,18893,1.09607,0.65656,1.42566,0.7302,0.72209,0.75391,0.55407,1.0329,0.55426,1.46421,0.0081685,0.0081685,0.0081685
39,19387.6,1.09467,0.65254,1.42167,0.73067,0.71969,0.75478,0.55505,1.03109,0.5516,1.46346,0.008119,0.008119,0.008119
40,19882.8,1.09574,0.65245,1.42473,0.73181,0.72754,0.75888,0.5582,1.03112,0.54828,1.46344,0.0080695,0.0080695,0.0080695
