epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.18,4.08821,5.8216,4.08164,0.04787,0.03966,0.01185,0.00325,3.21035,5.03047,3.33674,0.00333151,0.00333151,0.00333151
2,628.908,2.84139,3.58638,2.71147,0.28811,0.27429,0.18488,0.05328,2.40479,2.76764,2.26054,0.00663186,0.00663186,0.00663186
3,938.48,2.42402,2.64856,2.18795,0.29244,0.38062,0.25215,0.07979,2.17935,2.88737,2.03938,0.0098992,0.0098992,0.0098992
4,1246.93,2.26564,2.33865,2.03272,0.40936,0.41286,0.36436,0.12933,2.07256,1.99405,1.9191,0.0098515,0.0098515,0.0098515
5,1555.47,2.18035,2.10467,1.94761,0.49222,0.46506,0.43267,0.15239,2.05525,1.88674,1.8992,0.009802,0.009802,0.009802
6,1863.49,2.10955,1.97412,1.88799,0.52135,0.48044,0.48463,0.18208,2.00656,1.78902,1.84219,0.0097525,0.0097525,0.0097525
7,2172.26,2.07798,1.86367,1.85257,0.54128,0.52947,0.50817,0.19631,1.97674,1.59611,1.82559,0.009703,0.009703,0.009703
8,2480.06,2.04802,1.7861,1.82047,0.54774,0.55843,0.52029,0.20122,1.94104,1.5884,1.78424,0.0096535,0.0096535,0.0096535
9,2788.63,2.02287,1.74244,1.79925,0.60408,0.63366,0.61758,0.25577,1.92387,1.47486,1.77555,0.009604,0.009604,0.009604
10,3096.43,2.00319,1.69535,1.78538,0.6548,0.56586,0.61614,0.25558,1.89562,1.48424,1.74161,0.0095545,0.0095545,0.0095545
11,3404.31,1.99565,1.66772,1.76758,0.67282,0.63437,0.63437,0.2768,1.90043,1.42374,1.7335,0.009505,0.009505,0.009505
12,3712.58,1.98151,1.63784,1.75913,0.6863,0.64419,0.66748,0.29415,1.86602,1.3915,1.70957,0.0094555,0.0094555,0.0094555
13,4021.2,1.96052,1.58856,1.72994,0.70715,0.66548,0.71178,0.31668,1.88434,1.37074,1.70343,0.009406,0.009406,0.009406
14,4329.21,1.94594,1.56486,1.72591,0.69861,0.69213,0.71741,0.32153,1.87681,1.35307,1.70382,0.0093565,0.0093565,0.0093565
15,4638.01,1.94237,1.55148,1.71236,0.72839,0.65756,0.72001,0.32747,1.82653,1.29472,1.68492,0.009307,0.009307,0.009307
16,4945.93,1.93523,1.54007,1.7109,0.72025,0.67167,0.71117,0.32578,1.82711,1.30576,1.67068,0.0092575,0.0092575,0.0092575
17,5254.08,1.92198,1.50565,1.6873,0.74283,0.70378,0.75119,0.35478,1.81969,1.2501,1.65662,0.009208,0.009208,0.009208
18,5562.04,1.90492,1.47719,1.6853,0.71139,0.72237,0.734,0.3525,1.79602,1.23449,1.64136,0.0091585,0.0091585,0.0091585
19,5869.82,1.89246,1.45947,1.67656,0.74593,0.71302,0.76221,0.36884,1.81271,1.24511,1.64409,0.009109,0.009109,0.009109
20,6177.43,1.89324,1.44754,1.66693,0.76101,0.72912,0.78151,0.38254,1.78976,1.20273,1.6231,0.0090595,0.0090595,0.0090595
21,6485.84,1.87863,1.42972,1.66497,0.75777,0.72415,0.77262,0.38076,1.78438,1.1973,1.62591,0.00901,0.00901,0.00901
22,6792.83,1.87634,1.42707,1.66077,0.77351,0.73862,0.78932,0.38835,1.76431,1.16951,1.60697,0.0089605,0.0089605,0.0089605
23,7101.35,1.86818,1.39882,1.64902,0.77374,0.73039,0.79469,0.39907,1.75282,1.15737,1.59617,0.008911,0.008911,0.008911
24,7409.22,1.86698,1.38653,1.64868,0.76837,0.73738,0.78991,0.39397,1.77639,1.16058,1.60643,0.0088615,0.0088615,0.0088615
25,7717.38,1.85846,1.37432,1.63897,0.76533,0.74962,0.79805,0.39374,1.76521,1.15862,1.6015,0.008812,0.008812,0.008812
26,8025.23,1.85309,1.36432,1.62914,0.77973,0.75679,0.81193,0.40689,1.75881,1.1285,1.59095,0.0087625,0.0087625,0.0087625
27,8334.01,1.8402,1.34283,1.62442,0.77848,0.7678,0.81145,0.41573,1.74614,1.11787,1.5826,0.008713,0.008713,0.008713
28,8642.58,1.83969,1.34471,1.62308,0.78003,0.76568,0.81735,0.41737,1.73211,1.11448,1.56719,0.0086635,0.0086635,0.0086635
29,8951.15,1.83612,1.32726,1.61718,0.79351,0.76639,0.82353,0.42753,1.73609,1.09616,1.56969,0.008614,0.008614,0.008614
30,9259.63,1.82927,1.3244,1.61593,0.78524,0.77161,0.82673,0.42972,1.74146,1.08426,1.57328,0.0085645,0.0085645,0.0085645
31,9568.27,1.82452,1.30437,1.60914,0.79585,0.7808,0.8315,0.42947,1.73685,1.08021,1.56941,0.008515,0.008515,0.008515
32,9876.79,1.82627,1.30891,1.60157,0.79172,0.76859,0.82631,0.43089,1.71807,1.07322,1.55837,0.0084655,0.0084655,0.0084655
33,10185.4,1.80579,1.29408,1.60422,0.81285,0.78158,0.84071,0.44034,1.71208,1.05095,1.55301,0.008416,0.008416,0.008416
34,10493.7,1.80954,1.2842,1.60631,0.7906,0.78503,0.842,0.44122,1.70883,1.04755,1.55024,0.0083665,0.0083665,0.0083665
35,10802.9,1.80549,1.28173,1.59439,0.80522,0.79086,0.83966,0.43894,1.70927,1.04175,1.55533,0.008317,0.008317,0.008317
36,11110.9,1.79854,1.27715,1.5917,0.81152,0.79673,0.8467,0.44541,1.70641,1.03632,1.54648,0.0082675,0.0082675,0.0082675
37,11419.2,1.79943,1.26585,1.58408,0.80823,0.79726,0.85301,0.45023,1.70803,1.03282,1.53991,0.008218,0.008218,0.008218
38,11727.7,1.79171,1.24855,1.58297,0.81399,0.80589,0.855,0.45319,1.69464,1.01491,1.53041,0.0081685,0.0081685,0.0081685
